Symbol,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,date,close_price_change
ICICIBANK,1100.9,1106.05,1092.0,1097.7,564158,2014-01-01,0
AXISBANK,1301.5,1305.0,1288.2,1292.2,569885,2014-01-01,0
HDFCBANK,668.0,669.8,663.0,665.15,1123109,2014-01-01,0
AXISBANK,1292.0,1325.0,1263.35,1272.3,2594412,2014-01-02,0
ICICIBANK,1096.15,1118.0,1070.1,1075.6,2058457,2014-01-02,0
HDFCBANK,665.0,674.75,653.55,657.0,1807248,2014-01-02,0
ICICIBANK,1068.0,1075.0,1045.0,1066.8,2830455,2014-01-03,0
AXISBANK,1258.0,1269.5,1245.6,1260.9,2403748,2014-01-03,0
HDFCBANK,652.0,666.0,650.0,663.1,1628296,2014-01-03,1
AXISBANK,1257.55,1262.0,1241.6,1256.3,1836289,2014-01-06,0
HDFCBANK,663.0,663.0,657.0,661.7,1490855,2014-01-06,0
ICICIBANK,1066.0,1069.0,1035.05,1040.8,2691321,2014-01-06,0
HDFCBANK,667.1,670.95,653.3,664.4,1974230,2014-01-07,1
ICICIBANK,1045.05,1059.2,1023.85,1050.0,3375730,2014-01-07,1
AXISBANK,1257.5,1265.8,1215.5,1234.25,3020062,2014-01-07,0
ICICIBANK,1054.0,1063.85,1043.3,1054.3,3446450,2014-01-08,1
AXISBANK,1240.0,1245.0,1207.15,1211.75,2780369,2014-01-08,0
HDFCBANK,665.2,666.95,660.0,664.7,1162370,2014-01-08,1
AXISBANK,1205.0,1210.55,1176.2,1184.85,5110747,2014-01-09,0
HDFCBANK,663.2,666.05,657.1,662.95,944368,2014-01-09,0
ICICIBANK,1064.8,1065.6,1042.25,1050.85,3497943,2014-01-09,0
HDFCBANK,662.95,674.7,656.3,662.05,1537627,2014-01-10,0
ICICIBANK,1047.35,1054.6,1018.65,1024.5,3970052,2014-01-10,0
AXISBANK,1193.95,1196.55,1158.9,1164.05,3975548,2014-01-10,0
HDFCBANK,660.1,676.95,656.9,672.85,1188145,2014-01-13,1
AXISBANK,1165.0,1200.0,1165.0,1184.9,1694072,2014-01-13,1
ICICIBANK,1030.1,1061.1,1030.1,1054.9,3269439,2014-01-13,1
AXISBANK,1185.0,1193.55,1169.25,1177.05,2420113,2014-01-14,0
HDFCBANK,669.05,676.0,668.3,672.3,894280,2014-01-14,0
ICICIBANK,1052.0,1061.0,1033.0,1036.45,3078938,2014-01-14,0
HDFCBANK,673.0,682.7,669.6,680.55,1156960,2014-01-15,1
ICICIBANK,1045.0,1068.8,1042.9,1058.35,3436176,2014-01-15,1
AXISBANK,1185.0,1188.0,1166.4,1178.3,2840552,2014-01-15,1
AXISBANK,1185.0,1197.5,1168.7,1176.15,3795978,2014-01-16,0
HDFCBANK,684.4,685.0,670.35,673.05,1125294,2014-01-16,0
ICICIBANK,1066.5,1066.5,1049.05,1058.9,1633953,2014-01-16,1
AXISBANK,1178.0,1188.0,1145.0,1152.95,3786564,2014-01-17,0
HDFCBANK,675.0,675.0,659.05,665.0,10843714,2014-01-17,0
ICICIBANK,1053.4,1061.9,1031.05,1034.55,1758587,2014-01-17,0
HDFCBANK,668.1,676.7,666.4,670.05,1400092,2014-01-20,1
ICICIBANK,1034.5,1048.0,1028.0,1044.0,1930371,2014-01-20,1
AXISBANK,1142.7,1168.0,1132.3,1163.2,1975048,2014-01-20,1
AXISBANK,1164.9,1192.2,1158.5,1188.55,2195982,2014-01-21,1
HDFCBANK,672.95,678.8,670.0,676.1,1562981,2014-01-21,1
ICICIBANK,1053.0,1080.0,1048.8,1078.05,2708689,2014-01-21,1
ICICIBANK,1080.2,1091.0,1069.2,1087.95,2325196,2014-01-22,1
AXISBANK,1186.0,1202.4,1173.1,1188.85,2367932,2014-01-22,1
HDFCBANK,675.5,684.7,674.65,677.1,1758334,2014-01-22,1
ICICIBANK,1091.0,1091.0,1072.1,1079.45,1868031,2014-01-23,0
AXISBANK,1183.25,1220.2,1181.35,1216.0,3005432,2014-01-23,1
HDFCBANK,675.0,681.1,672.75,679.5,1370685,2014-01-23,1
